"album","song","words","overall_sentiment","neg_words","neg_sentiment","pos_words","pos_sentiment"
"1989 ","I Wish You Would (Taylor's Version)",114,0.807017543859649,15,-2.06666666666667,99,1.24242424242424
"1989 ","Bad Blood (Taylor's Version)",61,-0.819672131147541,40,-2.375,21,2.14285714285714
"1989 ","Wildest Dreams (Taylor's Version)",36,0.805555555555556,10,-2,26,1.88461538461538
"1989 ","How You Get The Girl (Taylor's Version)",33,-0.0909090909090909,13,-2.15384615384615,20,1.25
"1989 ","This Love (Taylor's Version)",77,2.01298701298701,10,-2.4,67,2.67164179104478
"1989 ","I Know Places (Taylor's Version)",15,-1.06666666666667,12,-1.91666666666667,3,2.33333333333333
"1989 ","Clean (Taylor's Version)",25,0.16,11,-2.27272727272727,14,2.07142857142857
"1989 ","Wonderland (Taylor's Version)",30,-0.733333333333333,17,-2.82352941176471,13,2
"1989 ","You Are In Love (Taylor's Version)",30,1.96666666666667,5,-1.4,25,2.64
"1989 ","New Romantics (Taylor's Version)",51,0.705882352941177,15,-1.73333333333333,36,1.72222222222222
"1989 ","""Slut!"" (Taylor's Version) [From The Vault]",38,-0.0789473684210526,19,-2.36842105263158,19,2.21052631578947
"1989 ","Say Don't Go (Taylor's Version) [From The Vault]",31,-0.258064516129032,22,-1.27272727272727,9,2.22222222222222
"1989 ","Now That We Don't Talk (Taylor's Version) [From The Vault]",20,0.2,9,-1.88888888888889,11,1.90909090909091
"1989 ","Suburban Legends (Taylor's Version) [From The Vault]",16,-0.375,10,-1.6,6,1.66666666666667
"1989 ","Is It Over Now? (Taylor's Version) [From The Vault]",16,0.125,8,-1.5,8,1.75
"1989 ","Bad Blood (Remix) [Taylor's Version]",75,-0.773333333333333,50,-2.26,25,2.2
"1989 ","Sweeter Than Fiction (Taylor's Version)",21,0.952380952380952,6,-1.83333333333333,15,2.06666666666667
"reputation","...Ready For It?",28,0.0357142857142857,14,-1.42857142857143,14,1.5
"reputation","End Game",61,0.475409836065574,20,-2,41,1.68292682926829
"reputation","I Did Something Bad",47,1.29787234042553,13,-2.84615384615385,34,2.88235294117647
"reputation","Don't Blame Me",38,0.157894736842105,20,-1.85,18,2.38888888888889
"reputation","Delicate",38,0.815789473684211,6,-3,32,1.53125
"reputation","Look What You Made Me Do",32,-0.03125,13,-2.30769230769231,19,1.52631578947368
"reputation","So It Goes...",14,-1.71428571428571,12,-2.25,2,1.5
"reputation","Gorgeous",37,-1.24324324324324,27,-2.55555555555556,10,2.3
"reputation","Getaway Car",35,-0.0285714285714286,25,-1.2,10,2.9
"reputation","King Of My Heart",14,1.21428571428571,3,-1.33333333333333,11,1.90909090909091
"reputation","Dancing With Our Hands Tied",38,0.289473684210526,12,-2.33333333333333,26,1.5
"reputation","Dress",66,1.37878787878788,10,-2,56,1.98214285714286
"reputation","This Is Why We Can't Have Nice Things",27,1.74074074074074,5,-1.6,22,2.5
"reputation","Call It What You Want",65,0.984615384615385,4,-2.25,61,1.19672131147541
"reputation","New Year's Day",22,-0.409090909090909,11,-1.81818181818182,11,1
"Lover","I Forgot That You Existed",33,-0.212121212121212,17,-2.29411764705882,16,2
"Lover","Cruel Summer",61,0.0163934426229508,23,-2.30434782608696,38,1.42105263157895
"Lover","Lover",13,0.461538461538462,5,-1.8,8,1.875
"Lover","The Man",23,-0.91304347826087,14,-2.71428571428571,9,1.88888888888889
"Lover","The Archer",26,-0.423076923076923,17,-1.64705882352941,9,1.88888888888889
"Lover","I Think He Knows",46,1.45652173913043,3,-1.33333333333333,43,1.65116279069767
"Lover","Miss Americana & The Heartbreak Prince",63,-0.53968253968254,41,-2.17073170731707,22,2.5
"Lover","Paper Rings",48,0.375,12,-2.33333333333333,36,1.27777777777778
"Lover","Cornelia Street",17,0.0588235294117647,7,-2.42857142857143,10,1.8
"Lover","Death By A Thousand Cuts",40,-0.325,27,-1.51851851851852,13,2.15384615384615
"Lover","London Boy",42,1.95238095238095,3,-1.33333333333333,39,2.20512820512821
"Lover","Soon You'll Get Better",25,0.88,6,-2.16666666666667,19,1.84210526315789
"Lover","False God",44,0.409090909090909,18,-1.83333333333333,26,1.96153846153846
"Lover","You Need To Calm Down",34,0.647058823529412,12,-1.91666666666667,22,2.04545454545455
"Lover","Afterglow",24,0.125,14,-1.42857142857143,10,2.3
"Lover","ME!",52,1.48076923076923,11,-1.36363636363636,41,2.24390243902439
"Lover","It's Nice To Have A Friend",17,1.64705882352941,3,-2,14,2.42857142857143
"Lover","Daylight",23,0.869565217391304,8,-2.25,15,2.53333333333333
"folklore","the 1",23,0.695652173913043,8,-2.25,15,2.26666666666667
"folklore","cardigan",21,0.952380952380952,6,-1.66666666666667,15,2
"folklore","the last great american dynasty",21,0.380952380952381,9,-2.66666666666667,12,2.66666666666667
"folklore","exile",26,-0.884615384615385,18,-2.33333333333333,8,2.375
"folklore","my tears ricochet",37,-0.567567567567568,20,-2.3,17,1.47058823529412
"folklore","mirrorball",17,1.17647058823529,4,-1.5,13,2
"folklore","seven",23,0.956521739130435,8,-1.625,15,2.33333333333333
"folklore","august",21,1.04761904761905,5,-2.2,16,2.0625
"folklore","this is me trying",13,-0.692307692307692,9,-1.77777777777778,4,1.75
"folklore","illicit affairs",15,-1.2,13,-1.76923076923077,2,2.5
"folklore","invisible string",20,0.05,9,-1.77777777777778,11,1.54545454545455
"folklore","mad woman",45,-0.977777777777778,30,-2.5,15,2.06666666666667
"folklore","epiphany",2,1,0,NA,2,1
"folklore","betty",31,-0.290322580645161,15,-2.33333333333333,16,1.625
"folklore","peace",22,0.318181818181818,8,-2.375,14,1.85714285714286
"folklore","hoax",26,-0.730769230769231,20,-1.5,6,1.83333333333333
"folklore","the lakes",28,0.285714285714286,14,-1.71428571428571,14,2.28571428571429
"evermore","willow",18,-0.444444444444444,11,-2.09090909090909,7,2.14285714285714
"evermore","champagne problems",23,-0.869565217391304,17,-2,6,2.33333333333333
"evermore","gold rush",45,1,12,-1.83333333333333,33,2.03030303030303
"evermore","'tis the damn season",21,-0.19047619047619,11,-2.63636363636364,10,2.5
"evermore","tolerate it",25,1,8,-2.25,17,2.52941176470588
"evermore","no body, no crime",44,-1.02272727272727,39,-1.46153846153846,5,2.4
"evermore","happiness",50,0.82,21,-1.71428571428571,29,2.6551724137931
