height,weight,dash40,vert_jump,bench_reps,broad_jump,cone_time,shuttle_time
75,295,4.94,,23,,,
72,204,4.64,37,14,121,6.87,4.12
74,245,4.7,,16,,,
77,315,5.15,33.5,31,106,,4.74
74,195,4.64,,,,,
70,210,4.55,,,,,
68,167,4.48,41,,127,7.42,4.11
72,197,4.51,38.5,13,120,,
74,204,4.49,43,,134,,
71,186,4.5,34.5,9,118,7.13,4.2
73,234,4.82,34.5,,108,7.32,4.4
77,318,5.19,31,33,108,7.85,4.4
69,202,4.67,34,11,120,7.07,4.03
76,334,5.31,29.5,31,102,8.08,4.93
69,181,4.61,35.5,,115,,
70,227,4.57,37.5,24,119,7.32,4.22
77,257,4.9,,,,,
73,192,4.57,33,,108,7.51,4.14
75,308,5.01,,31,,,
70,234,4.57,,24,,,
77,308,5.07,31.5,20,112,,4.95
72,199,4.54,34.5,,113,7.21,4.27
72,199,4.42,43.5,,126,6.56,3.73
76,308,5.24,32.5,28,,,
77,254,4.93,28.5,20,114,7.93,4.55
70,199,4.46,36,15,120,7.24,4.18
70,171,4.44,,,,,
72,199,4.61,,,,,
71,188,4.37,36.5,,116,,
75,290,4.87,34.5,25,111,7.37,4.36
75,252,4.97,31.5,22,118,6.82,4.1
71,242,4.59,32,,115,7.08,4.19
75,211,,,,,,
74,290,5.28,31.5,28,111,7.59,4.44
74,226,4.87,35.5,,106,7.33,4.27
75,293,4.9,,22,,,
75,313,5.33,30,37,105,8,4.73
77,311,5.29,,26,,7.84,4.49
72,251,4.77,35,22,111,,
77,264,4.88,,15,,,
76,236,4.75,36,24,,,
72,200,4.45,,,,,
75,299,5.56,26.5,17,92,8.59,4.99
74,275,4.99,30,,106,7.49,4.26
74,249,4.7,,,,,
76,242,4.76,,,,,
77,302,5.49,,,,,
73,222,4.41,,,,,
76,282,5.2,,,,,
74,209,4.51,41,,129,7.06,3.99
73,259,5.31,30,7,105,8.1,4.58
70,191,4.48,36.5,,112,7.17,4.18
71,197,4.62,38,10,117,7.36,4.1
76,280,5.25,,,,,
78,328,5.33,33,20,104,7.87,4.8
74,207,4.57,37.5,,124,7.12,4.12
77,256,4.85,34,20,113,7.14,4.15
74,200,4.5,,17,,,
72,205,4.61,35,,110,7.4,4.51
72,180,4.51,34.5,,116,7.12,4.15
73,171,4.57,37.5,,115,7.06,4.07
70,197,4.44,32,9,115,,
77,258,5.03,38,21,116,7.5,4.4
67,180,4.53,,,,,
71,185,4.46,39.5,,120,6.95,4.06
75,342,5.04,28.5,,99,8.06,4.73
71,193,4.56,37.5,10,119,7.06,4.2
74,248,4.76,,24,,7.1,4.31
73,211,4.48,,,,,
74,240,4.54,,,,,
70,184,4.31,,,,,
70,190,4.65,37,13,120,7.21,4.16
74,251,4.95,27,20,98,7.78,4.59
73,190,4.59,36,,119,7.18,4.19
74,223,4.95,31.5,5,112,,
70,195,4.53,37,,117,6.86,3.98
71,203,4.59,,14,,,
75,293,5.57,35.5,29,113,7.66,4.18
76,305,5.16,35,25,107,8.08,4.72
73,250,4.63,31,37,114,7.56,4.5
76,252,5.02,32,16,113,7.4,4.31
74,221,4.64,,16,,,
73,316,5.27,32.5,24,103,7.87,4.61
74,231,4.78,35.5,,112,7.13,4.29
74,272,5.01,30.5,22,112,7.52,4.43
76,300,5.36,28,,92,8.1,4.56
75,275,5.02,,31,,,
72,257,4.91,32.5,,106,7.37,4.53
74,309,5.1,,,,,
70,232,,,,,,
71,179,,,,,,
74,251,4.76,,,,,
76,234,4.55,,,,,
73,198,4.79,32.5,,112,7.26,4.22
76,257,4.99,31,20,102,7.65,4.45
76,298,5.23,,19,,,
74,307,5.13,33,29,108,7.55,4.35
73,196,4.34,,,,,
76,317,5.47,27,31,97,7.85,4.8
75,296,5.5,27,32,92,8.17,4.77
75,267,4.72,,,,,
73,192,,,,,,
74,264,4.75,,,,,
75,223,4.73,31.5,,115,7.37,4.2
76,247,4.84,32.5,7,113,7.04,4.25
76,256,4.75,34.5,16,117,7.28,4.4
75,308,5.24,30,19,106,8.06,4.58
73,211,4.61,,,,,
77,311,5.16,,23,,,
76,320,5.28,,,,,
76,228,4.74,34,,107,7.07,4.29
