type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Condo/Co-op,Burlington,5401,400000,2,2,1860,,1981,215
Single Family Residential,Burlington,5408,360000,3,1.5,1546,6969,1996,233
Condo/Co-op,Burlington,5401,345000,2,2,1344,,2003,257
Multi-Family (2-4 Unit),Burlington,5401,415000,,2,1552,5270,1910,267
Single Family Residential,Burlington,5401,530000,5,3,1924,6098,1899,275
Multi-Family (2-4 Unit),Burlington,5401,451000,3,2,1940,10846,1926,232
Single Family Residential,Burlington,5401,825000,4,1.5,1754,3999,1905,470
Townhouse,Burlington,5401,316000,3,1.5,1296,,2001,244
Townhouse,Burlington,5401,650000,3,2.5,2460,,1988,264
Multi-Family (2-4 Unit),Burlington,5401,655000,5,3,2736,3571,1899,239
Single Family Residential,Burlington,5401,606000,4,1.5,1728,4791,1902,351
Condo/Co-op,Burlington,5408,466665,2,1.5,1260,,1988,370
Single Family Residential,Burlington,5401,535000,2,2,1660,10018,1930,322
Single Family Residential,Burlington,5401,315000,2,1.5,1106,3876,1899,285
Condo/Co-op,Burlington,5401,250000,1,1,580,,1980,431
Townhouse,Burlington,5401,399000,2,1.5,1220,,1981,327
Multi-Family (2-4 Unit),Burlington,5401,568500,5,3,2491,6098,1915,228
Single Family Residential,Burlington,5408,820000,3,2.5,2961,23522,1977,277
Single Family Residential,Burlington,5408,348000,3,1,988,7841,1965,352
Single Family Residential,Burlington,5401,615000,3,2.5,2215,17424,1953,278
Townhouse,Burlington,5408,575000,2,2.5,1400,,1986,411
Single Family Residential,South Burlington,5403,510000,3,1.5,1200,8276,1955,425
Single Family Residential,Burlington,5401,445000,2,1,784,6969,1953,568
Single Family Residential,Burlington,5401,750000,4,2,1962,5662,1920,382
Condo/Co-op,Burlington,5401,1350000,2,2,1522,,1997,887
Townhouse,Burlington,5408,409000,2,2.5,1760,,1988,232
Multi-Family (2-4 Unit),Burlington,5401,515000,5,2,2580,4181,1899,200
Multi-Family (2-4 Unit),Burlington,5401,526500,4,2,1670,12196,1950,315
Single Family Residential,Burlington,5401,436000,4,2,3641,20473,1935,120
Single Family Residential,Burlington,5408,400000,2,1,975,14157,1953,410
Condo/Co-op,Burlington,5401,290000,2,1,900,2613,1899,322
Single Family Residential,Burlington,5408,800000,4,3,3133,11761,1966,255
Condo/Co-op,Burlington,5401,540000,2,2,1099,,2014,491
Single Family Residential,Burlington,5408,370000,3,1,1328,8712,1952,279
Single Family Residential,Burlington,5401,565000,3,2,2226,6969,1915,254
Single Family Residential,Burlington,5401,515000,5,2,2142,6098,1900,240
Condo/Co-op,Winooski,5404,440000,2,2,1118,,2008,394
Single Family Residential,Burlington,5408,465000,3,2,1891,11325,1985,246
Multi-Family (2-4 Unit),Burlington,5401,705987,6,3,3264,7405,1950,216
Condo/Co-op,Burlington,5401,207500,1,1,496,,1900,418
Multi-Family (2-4 Unit),Burlington,5401,560000,4,2,1928,39204,1941,290
Condo/Co-op,Burlington,5408,369000,2,2,1376,,2002,268
Townhouse,Burlington,5401,345000,2,1,1203,,1910,287
Condo/Co-op,Burlington,5401,667000,2,1,1578,,1997,423
Single Family Residential,South Burlington,5403,450000,3,1,1242,7405,1951,362
Single Family Residential,Burlington,5408,702000,4,2.5,2600,12196,1967,270
Townhouse,Burlington,5408,320000,2,1,1104,,1992,290
Multi-Family (2-4 Unit),Burlington,5401,625000,5,3,2057,1306,1920,304
Vacant Land,Burlington,5408,204000,,,,33541,,
Single Family Residential,Burlington,5408,680000,4,3.5,2578,9583,1965,264
Single Family Residential,Burlington,5401,161500,3,2,1421,5227,1899,114
Single Family Residential,Burlington,5408,655000,4,3.5,3099,16988,2003,211
Single Family Residential,Burlington,5408,760000,4,3,2781,11761,1959,273
Townhouse,Burlington,5401,380000,3,1.5,1392,,1993,273
Single Family Residential,South Burlington,5403,400000,3,1.5,1280,12632,1940,313
Single Family Residential,Burlington,5401,522500,4,2.5,2195,21780,1988,238
Townhouse,Burlington,5408,312000,2,1,1080,,1992,289
Single Family Residential,Burlington,5401,314000,2,1,1473,5662,1899,213
Single Family Residential,Burlington,5401,364900,3,1,1164,5662,1899,313
Single Family Residential,Burlington,5401,330000,3,1,1180,,1904,280
Single Family Residential,Burlington,5401,630000,3,3,1692,4356,1896,372
Single Family Residential,Burlington,5408,325000,2,1.5,1630,7405,1955,199
Single Family Residential,Burlington,5408,337000,5,2,1832,7840,1968,184
Single Family Residential,Burlington,5408,295500,3,1,864,9147,1972,342
Multi-Family (2-4 Unit),Burlington,5401,442000,2,2,1226,3789,1899,361
Multi-Family (2-4 Unit),Burlington,5408,505000,6,2,2080,9147,1970,243
Townhouse,Burlington,5401,473000,3,2,1680,,1993,282
Single Family Residential,Burlington,5401,380000,2,1,1548,10890,1971,245
Single Family Residential,Burlington,5401,500000,4,2,1605,6577,1899,312
Townhouse,Burlington,5401,390000,2,2.5,1510,,1981,258
Multi-Family (2-4 Unit),Burlington,5401,735000,9,3,3006,7405,1910,245
Condo/Co-op,Burlington,5401,241500,1,1,572,,1976,422
Multi-Family (2-4 Unit),Burlington,5408,600000,5,2,2734,12196,1950,219
Townhouse,Burlington,5401,440000,2,1.5,1489,,1989,296
Single Family Residential,Burlington,5408,435000,3,1.5,1292,6098,1954,337
Single Family Residential,Burlington,5401,725000,4,3.5,3378,17859,1970,215
Multi-Family (2-4 Unit),Burlington,5401,885000,9,3.5,3136,21780,1927,282
Single Family Residential,South Burlington,5403,735000,4,2.5,2238,21780,1948,328
Condo/Co-op,Burlington,5401,306000,1,1,553,,1900,553
Single Family Residential,Burlington,5401,277200,2,1,1077,5662,1899,257
Single Family Residential,Burlington,5401,850000,4,3,3785,23958,1970,225
Townhouse,Burlington,5401,445000,3,2,1899,,1992,234
Multi-Family (2-4 Unit),Burlington,5401,625000,6,2,2994,20037,1927,209
Single Family Residential,Burlington,5408,410000,4,2,1356,7405,1954,302
Single Family Residential,Burlington,5401,1799000,2,3.5,3324,1742,2015,541
Multi-Family (2-4 Unit),Burlington,5401,430000,3,2,1488,3484,1920,289
Condo/Co-op,Washington,20002,415000,1,1,659,,1927,630
Townhouse,Washington,20002,615000,2,2,1102,1600,1940,558
Townhouse,Washington,20009,1400000,4,3.5,3029,2844,1917,462
Condo/Co-op,Washington,20009,735000,2,2,1263,,2002,582
Condo/Co-op,Washington,20002,289000,2,2,650,,1942,445
Condo/Co-op,Washington,20001,399900,1,1,752,,2007,532
Townhouse,Washington,20001,675000,3,2,1104,1344,1926,611
Townhouse,Washington,20011,575000,3,2,1382,2124,1911,416
Townhouse,Washington,20012,380000,3,1,1024,1980,1950,371
Condo/Co-op,Washington,20009,460000,1,1,775,,2000,594
Condo/Co-op,Washington,20009,795000,2,2.5,1084,,2007,733
Condo/Co-op,Washington,20009,235000,0,1,412,,1962,570
Condo/Co-op,Washington,20036,230000,1,1,518,,1891,444
Condo/Co-op,Washington,20005,730000,2,2,965,,2008,756
Condo/Co-op,Washington,20008,241000,0,1,463,,1963,521
Townhouse,Washington,20017,470000,3,1.5,1584,2551,1947,297
Townhouse,Washington,20019,342500,2,1,952,3441,1941,360
Townhouse,Washington,20002,585000,2,2.5,1020,1180,1939,574
Condo/Co-op,Washington,20002,439000,2,2,856,,2015,513
Condo/Co-op,Washington,20010,386000,2,1,707,,1950,546
Condo/Co-op,Washington,20009,415000,1,1,800,,1917,519
Condo/Co-op,Washington,20016,307500,1,1,850,,1964,362
Condo/Co-op,Washington,20001,399999,1,1,744,,2004,538
Condo/Co-op,Washington,20024,245000,0,1,517,,1959,474
Condo/Co-op,Washington,20009,215000,1,1,690,,1909,312
Condo/Co-op,Washington,20007,280000,1,1,740,,1942,378
Townhouse,Washington,20007,1825000,4,3.5,2654,1064,1985,688
Condo/Co-op,Washington,20002,245500,0,1,445,,1900,552
Townhouse,Washington,20037,850000,2,1.5,1126,575,1900,755
Townhouse,Washington,20019,450000,3,2,1556,2633,1947,289
