type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Condo/Co-op,Washington,20036,300000,1,1,493,,1891,609
Townhouse,Washington,20002,1510000,5,3.5,2662,1620,1890,567
Townhouse,Washington,20003,960000,3,2.5,1726,917,1908,556
Townhouse,Washington,20007,1595000,4,3.5,2490,2500,1926,641
Townhouse,Washington,20010,1250000,4,3.5,2127,1650,1909,588
Townhouse,Washington,20002,756500,3,2.5,1530,1468,1925,494
Single Family Residential,Washington,20015,1154000,3,3.5,2677,6250,1947,431
Townhouse,Washington,20003,1900000,4,2,2690,3076,1890,706
Single Family Residential,Washington,20016,2230000,4,4.5,4150,7402,1941,537
Townhouse,Washington,20009,1495000,4,3,2138,2233,1917,699
Townhouse,Washington,20016,1117595,3,2.5,1104,3230,1940,1012
Condo/Co-op,Washington,20001,395000,1,1,646,,2000,611
Single Family Residential,Washington,20015,1800000,6,5,4300,6131,1951,419
Condo/Co-op,Washington,20003,742000,2,2,1065,,2009,697
Townhouse,Washington,20007,1450000,2,2.5,1278,892,1900,1135
Townhouse,Washington,20008,1150000,3,2.5,2190,3100,1948,525
Townhouse,Washington,20011,1100000,5,3.5,2916,1150,1917,377
Townhouse,Washington,20008,1100000,5,3,2970,3488,1906,370
Condo/Co-op,Washington,20020,140000,2,1,575,,1940,243
Condo/Co-op,Washington,20020,125000,2,1,775,,1952,161
Townhouse,Washington,20010,1520000,4,3.5,2861,2205,1913,531
Townhouse,Washington,20002,699000,3,1.5,1184,1891,1938,590
Single Family Residential,Chevy Chase,20815,1460000,3,3,1752,8750,1952,833
Townhouse,Washington,20002,1115000,4,3,2440,1000,1910,457
Townhouse,Washington,20010,1350000,4,3.5,2350,1820,1912,574
Townhouse,Washington,20011,1210000,4,3,2948,3192,1921,410
Townhouse,Washington,20015,1180000,3,3.5,2250,2795,1959,524
Single Family Residential,Washington,20016,1600000,3,3.5,2704,4400,1935,592
Single Family Residential,Washington,20015,1220000,4,2,2173,4269,1956,561
Townhouse,Washington,20009,500000,2,2,1151,,1925,434
Condo/Co-op,Alexandria,22314,260000,1,1,605,,1970,430
Condo/Co-op,Washington,20007,569000,4,2,1467,,1967,388
Townhouse,Washington,20001,940000,3,3.5,2227,474,1900,422
Single Family Residential,Washington,20008,1405000,4,3.5,3344,6958,1929,420
Townhouse,Washington,20011,1000000,4,3.5,2230,1967,1929,448
Condo/Co-op,Washington,20024,208000,0,1,580,,1966,359
Condo/Co-op,Washington,20020,180000,2,1,625,,1940,288
Townhouse,Washington,20019,399999,2,2,1248,2904,1950,321
Single Family Residential,Washington,20015,1150000,4,2,1629,4950,1938,706
Single Family Residential,Washington,20015,1151000,4,2.5,2712,6730,1926,424
Condo/Co-op,Washington,20009,1699999,4,3,2815,,2005,604
Townhouse,Washington,20007,1600000,4,4.5,3213,2441,1989,498
Townhouse,Washington,20001,660000,3,1.5,2052,825,1916,322
Condo/Co-op,Washington,20037,547500,1,1,705,,1989,777
Townhouse,Washington,20019,415000,4,2,1548,2500,1920,268
Single Family Residential,Washington,20020,400000,3,3.5,1200,3335,1999,333
Townhouse,Washington,20001,810000,3,3.5,1900,1499,1895,426
Single Family Residential,Washington,20016,1967500,4,3.5,3906,6486,1986,504
Single Family Residential,Washington,20016,2050000,6,3.5,3510,5196,1937,584
Townhouse,Washington,20016,725000,2,2.5,1184,698,1988,612
Townhouse,Washington,20019,600000,5,3.5,2646,3112,2022,227
Townhouse,Washington,20007,1157500,3,2,1670,1334,1938,693
Townhouse,Washington,20015,1085000,3,3.5,2340,2347,1925,464
Condo/Co-op,Washington,20009,432000,1,1,558,,1895,774
Townhouse,Washington,20005,660000,2,2.5,980,,1900,673
Townhouse,Washington,20019,228000,2,2,1184,1774,1952,193
Condo/Co-op,Washington,20003,1112500,2,2,2101,,1906,530
Single Family Residential,Washington,20016,1527000,4,3.5,2046,4620,1939,746
Single Family Residential,Washington,20011,1336000,5,2.5,2767,3585,1912,483
Townhouse,Washington,20032,414000,3,3.5,1280,1820,2001,323
Townhouse,Washington,20016,1650000,4,3.5,2688,4650,1923,614
Townhouse,Washington,20002,199900,1,1,,,2022,
Townhouse,Washington,20011,775000,4,3.5,2238,1476,1929,346
Condo/Co-op,Washington,20009,616999,2,1,920,,1910,671
Single Family Residential,Washington,20015,1267000,3,3.5,2258,5300,1951,561
Single Family Residential,Washington,20007,1820000,5,4,3667,9075,1957,496
Townhouse,Washington,20007,1435000,7,3,4686,1665,1900,306
Condo/Co-op,Washington,20008,535000,2,2,1207,,1964,443
Single Family Residential,Washington,20016,1275000,3,2,2100,5913,1940,607
Townhouse,Washington,20009,800000,3,2,2360,,1917,339
Condo/Co-op,Washington,20008,510000,2,1,1160,,1928,440
Townhouse,Washington,20002,1275000,4,3.5,2205,1851,1911,578
Single Family Residential,Washington,20015,1205000,3,3,2707,5199,1957,445
Condo/Co-op,Washington,20009,556500,2,2,1200,,1949,464
Single Family Residential,Washington,20016,1825000,6,3.5,2754,10000,1911,663
Townhouse,Washington,20003,668000,2,1,780,939,1900,856
Townhouse,Washington,20007,1465000,3,3.5,2330,2829,1924,629
Townhouse,Washington,20008,1186000,4,3.5,2069,4235,1953,573
Single Family Residential,Washington,20016,1556000,4,3.5,2611,4950,1938,596
Single Family Residential,Washington,20015,1650000,4,3.5,2515,5218,1930,656
Single Family Residential,Chevy Chase,20815,2000000,5,4,3538,10045,1928,565
Single Family Residential,Washington,20008,2600000,6,4.5,4285,10861,1942,607
Condo/Co-op,Washington,20017,494900,2,1,,,2022,
Townhouse,Washington,20017,1025000,4,3.5,2160,978,2011,475
Condo/Co-op,Alexandria,22314,629900,2,2,1168,,1970,539
Townhouse,Washington,20011,585000,3,3.5,1710,2466,1936,342
Multi-Family (2-4 Unit),Washington,20002,460000,,,1120,1105,1949,411
Single Family Residential,Chevy Chase,20815,1460000,4,4,2900,8638,1948,503
Townhouse,Washington,20019,310000,2,1,1246,1899,1939,249
Condo/Co-op,Washington,20005,140000,0,1,392,,1964,357
Townhouse,Washington,20010,1625000,5,4.5,3537,1558,1912,459
Condo/Co-op,Washington,20002,287500,1,1,566,,2020,508
Townhouse,Washington,20011,915000,4,2.5,2867,4780,1928,319
Townhouse,Washington,20017,435000,2,2,1596,2976,1940,273
Townhouse,Washington,20019,290000,2,1.5,1248,2023,1939,232
Townhouse,Washington,20010,735000,4,2,1692,1512,1910,434
Townhouse,Washington,20007,1060000,3,2.5,2084,2880,1936,509
Condo/Co-op,Washington,20015,830000,3,3.5,1637,,1924,507
Townhouse,Washington,20020,418000,3,2,1286,1962,1939,325
Townhouse,Washington,20002,680000,4,1,1374,1710,1928,495
Townhouse,Washington,20024,1165000,4,3.5,2096,927,2001,556
Condo/Co-op,Washington,20037,758500,3,2,1146,,1893,662
Townhouse,Washington,20007,985000,4,2,1564,3675,1926,630
Townhouse,Washington,20009,626500,1,1,758,,1978,827
Single Family Residential,Washington,20016,1500000,3,3.5,2227,5750,1927,674
Townhouse,Washington,20001,1950000,5,5.5,3465,1564,1920,563
Townhouse,Washington,20017,791000,4,3.5,1620,2117,1952,488
Townhouse,Washington,20002,700000,3,1,1424,2501,1915,492
Condo/Co-op,Washington,20009,1289000,2,2,1500,,1911,859
Townhouse,Washington,20001,1055500,4,3.5,1986,1149,1909,531
Single Family Residential,Washington,20008,3500000,5,5.5,5090,6064,1909,688
Townhouse,Washington,20011,505000,3,2.5,2100,3563,1936,240
Single Family Residential,Washington,20016,1650000,6,4,2915,10914,1955,566
Townhouse,Washington,20011,450000,3,2,1674,1913,1940,269
Townhouse,Washington,20018,570000,2,3,1600,1249,2014,356
Townhouse,Washington,20032,306000,3,1.5,1830,3750,1966,167
Townhouse,Washington,20001,725000,5,2,1863,1740,1906,389
Condo/Co-op,Washington,20011,373900,2,1,780,,1931,479
Townhouse,Washington,20009,1310000,2,2.5,1740,1517,1870,753
Townhouse,Washington,20017,515000,2,2,1216,1642,1949,424
Townhouse,Washington,20008,2250000,4,2.5,3767,1725,1910,597
Condo/Co-op,Washington,20008,720000,2,2,1015,,2002,709
Condo/Co-op,Washington,20009,430000,1,1,527,,2009,816
Single Family Residential,Washington,20016,1200000,4,2,2039,5175,1908,589
Townhouse,Washington,20002,755000,3,1,1722,1500,1900,438
Townhouse,Washington,20009,1250000,4,3.5,2079,2855,1917,601
Condo/Co-op,Washington,20003,345500,2,1,464,,2022,745
Single Family Residential,Washington,20011,1525000,4,3.5,3800,4667,1922,401
Townhouse,Washington,20002,500000,3,1.5,1764,1523,1925,283
Townhouse,Washington,20003,2150000,4,3.5,2731,2560,1900,787
Single Family Residential,Washington,20016,1527777,4,3.5,3033,5499,1941,504
Condo/Co-op,Washington,20008,340000,2,1,850,,1927,400
Single Family Residential,Washington,20016,1370000,4,4,2541,6135,1968,539
Single Family Residential,Washington,20015,1610000,4,4,3900,9760,1936,413
Condo/Co-op,Washington,20005,540000,1,1,833,,1998,648
Condo/Co-op,Washington,20009,720000,2,2,1098,,1901,656
Condo/Co-op,Washington,20016,620000,3,2,1814,,1960,342
Condo/Co-op,Washington,20036,365000,1,1,711,,1900,513
Townhouse,Washington,20003,780000,2,2,1300,810,1912,600
Townhouse,Washington,20017,1130000,6,4.5,3500,3750,1905,323
Condo/Co-op,Washington,20001,939000,2,2,1256,,2006,748
Townhouse,Washington,20024,1000000,4,3.5,3008,,1965,332
Townhouse,Washington,20010,999000,4,3.5,1995,1562,1925,501
Condo/Co-op,Washington,20008,891000,2,2,1400,,1927,636
Townhouse,Washington,20020,305000,1,3,1422,2319,1947,214
Condo/Co-op,Washington,20002,280000,1,1,547,,2021,512
Condo/Co-op,Washington,20001,385000,1,1,1095,336,1900,352
Townhouse,Alexandria,22314,1475000,3,4.5,3060,1616,1995,482
Townhouse,Washington,20011,945000,4,3.5,2280,1600,1915,414
Townhouse,Washington,20011,710000,4,2,2100,2940,1910,338
Condo/Co-op,Washington,20036,240000,1,1,516,,1891,465
Townhouse,Washington,20003,2390000,5,4.5,3522,2565,2019,679
Townhouse,Washington,20009,1475000,4,3.5,2924,2237,1916,504
Parking,Washington,20020,12000,0,,,,1940,
Townhouse,Washington,20003,960000,2,2.5,1295,891,1907,741
Condo/Co-op,Washington,20016,264999,1,1,643,,1960,412
Condo/Co-op,Washington,20008,399000,1,1,1133,,1920,352
Single Family Residential,Washington,20018,1070000,4,3.5,2406,3936,1923,445
Condo/Co-op,Washington,20002,649900,2,2,1006,,1920,646
Townhouse,Washington,20010,455000,3,1.5,1210,945,1913,376
Townhouse,Washington,20001,700000,3,2,1772,2203,1905,395
Single Family Residential,Nashville,37214,219000,1,1,936,8276,1985,234
Single Family Residential,Nashville,37217,294000,3,2.5,2225,10890,1977,132
Single Family Residential,Nashville,37212,750000,3,3,1777,7840,1936,422
Condo/Co-op,Nashville,37214,295000,2,2,1280,1306,1986,230
Other,Antioch,37013,200000,2,2,1134,6534,1984,176
Single Family Residential,Nashville,37206,600000,3,2,1825,10454,1930,329
Single Family Residential,Madison,37115,284320,3,1.5,1121,14810,1968,254
Single Family Residential,Antioch,37013,274900,3,2,1074,6969,1985,256
Single Family Residential,Nashville,37212,635000,2,2,1880,2178,2006,338
Single Family Residential,Antioch,37013,349000,3,2,1839,6534,1994,190
Single Family Residential,Nashville,37207,415000,4,2,1890,36590,1950,220
Condo/Co-op,Nashville,37218,420000,2,2.5,1470,11325,2020,286
Townhouse,Nashville,37211,297000,2,2.5,1236,435,2005,240
Single Family Residential,Nashville,37218,339000,3,2,1232,8712,1969,275
Single Family Residential,Antioch,37013,439900,4,3,2221,9147,2017,198
Single Family Residential,Brentwood,37027,525000,3,2.5,2688,6534,2015,195
Single Family Residential,Nashville,37207,403900,3,2,1543,12196,1950,262
Single Family Residential,Nashville,37205,558000,4,2.5,1980,22651,1976,282
Single Family Residential,Joelton,37080,769900,4,3.5,3850,331056,1991,200
Condo/Co-op,Hermitage,37076,588026,3,3,2661,13939,2022,221
Single Family Residential,Brentwood,37027,320000,3,2,1958,10454,1988,163
Townhouse,Brentwood,37027,419900,2,3.5,1692,1306,2022,248
Single Family Residential,Nashville,37203,3709000,3,3.5,3410,,2020,1088
Single Family Residential,Antioch,37013,419890,3,2.5,2175,,2022,193
Single Family Residential,Nashville,37209,700000,3,4,3658,152895,2001,191
Condo/Co-op,Hermitage,37076,505000,3,3,2839,2178,2006,178
Single Family Residential,Nashville,37203,1097000,2,2.5,1289,,2021,851
Single Family Residential,Brentwood,37027,940000,3,2.5,2965,6534,1988,317
Single Family Residential,Nashville,37207,517560,5,3,2352,5227,2022,220
Single Family Residential,Madison,37115,350000,3,2,2047,39640,1965,171
Condo/Co-op,Nashville,37209,364900,1,1,705,,2022,518
Single Family Residential,Nashville,37203,1098230,2,2.5,1289,,2021,852
Condo/Co-op,Nashville,37221,192000,2,1,916,,1982,210
Single Family Residential,Nashville,37220,2450000,5,5.5,5611,2613,2020,437
Condo/Co-op,Nashville,37215,1600000,4,3.5,3496,,2016,458
Single Family Residential,Nashville,37206,475000,4,2,1856,11761,1945,256
Single Family Residential,Nashville,37203,1030000,1,1.5,997,,2020,1033
Single Family Residential,Nashville,37203,1040375,2,2.5,1323,,2020,786
Single Family Residential,Hermitage,37076,651297,3,2.5,2417,,2022,269
Condo/Co-op,Nashville,37214,211150,2,2,1242,3049,1987,170
Single Family Residential,Nashville,37209,825000,4,3,2697,9147,2022,306
Multi-Family (2-4 Unit),Nashville,37204,600417,4,2,2054,11326,1969,292
Townhouse,Nashville,37207,363770,3,2.5,1400,5227,2022,260
Single Family Residential,Nashville,37209,2075000,4,4,3522,7840,2022,589
Single Family Residential,Hermitage,37076,572965,3,3,2805,,2022,204
Single Family Residential,Madison,37115,525000,4,3,2268,13503,2022,231
Multi-Family (2-4 Unit),Madison,37115,300000,4,2,1458,24829,1959,206
Single Family Residential,Nashville,37212,3790000,4,6,4877,10454,1900,777
Condo/Co-op,Nashville,37215,2900000,5,3.5,4380,,2005,662
Single Family Residential,Nashville,37218,170000,3,2.5,1950,9148,1961,87
Single Family Residential,Nashville,37215,2150000,4,4.5,7611,116740,1984,282
Single Family Residential,Nashville,37203,949000,2,2,1315,,2020,722
Single Family Residential,Antioch,37013,498610,4,2.5,2565,,2021,194
Condo/Co-op,Nashville,37209,699900,3,3.5,1954,,2021,358
Single Family Residential,Nashville,37214,801014,4,4,3339,7840,2022,240
Townhouse,Nashville,37207,368590,3,2.5,1400,5227,2022,263
Townhouse,Old Hickory,37138,289900,2,2.5,1177,,2020,246
Single Family Residential,Nashville,37206,349000,2,1,960,7405,1925,364
Single Family Residential,Nashville,37208,669900,3,3,2084,5662,2022,321
Single Family Residential,Nashville,37211,85000,2,1,874,871,1965,97
Single Family Residential,Nashville,37207,225000,3,2,1048,10454,1985,215
Single Family Residential,Nashville,37203,992000,2,2.5,1289,,2021,770
Single Family Residential,Hermitage,37076,498790,3,2,1897,,2022,263
Condo/Co-op,Nashville,37203,485900,1,1,916,,2022,530
Single Family Residential,Nashville,37218,675000,4,2.5,3039,11761,2006,222
Single Family Residential,Nashville,37203,1940000,3,3.5,1951,,2020,994
Single Family Residential,Antioch,37013,444125,3,2.5,1979,,2022,224
Single Family Residential,Nolensville,37135,655000,4,2.5,3350,10890,2007,196
Single Family Residential,Nashville,37203,3359000,3,3.5,3120,,2020,1077
Single Family Residential,Nashville,37203,1095000,2,2.5,1323,,2020,828
Single Family Residential,Nashville,37203,1007000,2,2.5,1412,,2020,713
Single Family Residential,Brentwood,37027,622075,4,3,2708,7405,2022,230
Single Family Residential,Antioch,37013,501260,4,2.5,2565,,2021,195
Townhouse,Antioch,37013,500725,4,3.5,2089,2178,2022,240
Single Family Residential,Antioch,37013,457000,3,2.5,2166,6098,2020,211
Single Family Residential,Nashville,37210,850000,4,3,2652,16117,2022,321
Single Family Residential,Nashville,37214,530000,3,2.5,1955,871,2021,271
Single Family Residential,Nashville,37203,1067000,2,2.5,1289,,2021,828
Townhouse,Nashville,37207,409090,3,2.5,1601,5227,2022,256
Townhouse,Nashville,37207,304990,3,2.5,1400,5227,2022,218
Single Family Residential,Madison,37115,205000,3,1,1044,13068,1970,196
Single Family Residential,Nashville,37210,330000,4,2,1313,5227,1965,251
Single Family Residential,Nashville,37209,650000,3,2.5,2019,3920,2014,322
Townhouse,Nashville,37207,370270,3,2.5,1400,5227,2022,264
Single Family Residential,Hermitage,37076,652663,4,3,2550,,2022,256
Single Family Residential,Nashville,37203,2080750,3,3.5,1951,,2020,1067
Single Family Residential,Nashville,37212,1550000,4,3.5,3184,6970,2014,487
Single Family Residential,Nashville,37207,975000,4,3,2713,7840,2022,359
Single Family Residential,Hermitage,37076,581440,3,3,2805,,2022,207
Single Family Residential,Hermitage,37076,325000,3,1.5,1375,13068,1965,236
Single Family Residential,Nashville,37203,1563000,3,3.5,1951,,2020,801
Single Family Residential,Nashville,37216,749996,3,2.5,2505,8276,2022,299
Single Family Residential,Nashville,37203,890155,2,2.5,1412,,2020,630
Condo/Co-op,Nashville,37221,240000,2,2.5,1292,,2001,186
Single Family Residential,Nashville,37203,1009000,2,2,1315,,2020,767
Single Family Residential,Nashville,37211,300000,4,1.5,1167,11761,1970,257
Single Family Residential,Nashville,37214,140000,2,1,792,9583,1953,177
Condo/Co-op,Nashville,37212,225000,1,1,600,435,1971,375
Single Family Residential,Nashville,37203,2633000,3,3.5,2858,,2020,921
Single Family Residential,Hermitage,37076,597140,3,3,2382,,2022,251
Single Family Residential,Nashville,37203,1265705,2,2.5,1289,,2021,982
Single Family Residential,Hermitage,37076,636251,3,2.5,2549,,2022,250
Single Family Residential,Brentwood,37027,572000,3,3,1966,1742,2006,291
Single Family Residential,Nashville,37201,4650000,3,3.5,2711,,2022,1715
Single Family Residential,Nashville,37203,917000,2,2.5,1289,,2021,711
Single Family Residential,Antioch,37013,413990,4,2.5,1680,,2021,246
Single Family Residential,Nashville,37203,892000,2,2.5,1412,,2020,632
Single Family Residential,Nashville,37217,280000,2,2.5,1200,435,2016,233
Single Family Residential,Nashville,37203,977000,2,2.5,1289,,2021,758
Townhouse,Antioch,37013,316805,3,2.5,1220,,2022,260
Single Family Residential,Antioch,37013,625777,3,3.5,2847,9147,2022,220
Single Family Residential,Antioch,37013,410000,4,2.5,1821,5227,2021,225
Single Family Residential,Nashville,37203,999000,2,2.5,1323,,2020,755
Townhouse,Old Hickory,37138,324900,3,2.5,1452,,2021,224
Townhouse,Hermitage,37076,344990,2,2.5,1209,,2022,285
Condo/Co-op,Antioch,37013,328950,3,3,1485,,2022,222
Single Family Residential,Nashville,37203,1067000,2,2.5,1289,,2021,828
Single Family Residential,Nashville,37203,2728000,3,3.5,2703,,2020,1009
Single Family Residential,Nashville,37216,540000,3,1,1352,23958,1950,399
Single Family Residential,Nashville,37207,440870,3,2,1420,5227,2022,310
Single Family Residential,Nashville,37214,844136,5,4,3295,7840,2022,256
Single Family Residential,Nashville,37203,1037000,2,2.5,1289,,2021,804
Single Family Residential,Nashville,37203,1143905,2,2.5,1289,,2021,887
Condo/Co-op,Nashville,37208,700000,2,1.5,1450,,2008,483
Single Family Residential,Nashville,37206,450000,3,1,1175,17859,1955,383
Single Family Residential,Nashville,37203,961205,2,2.5,1289,,2021,746
Single Family Residential,Nashville,37203,5100000,3,3,4455,,2020,1145
Single Family Residential,Nashville,37203,4050000,3,3.5,3455,,2020,1172
Single Family Residential,Nashville,37207,850000,3,2.5,2328,5227,2022,365
Single Family Residential,Nashville,37206,825000,4,3.5,2331,,2022,354
Single Family Residential,Nashville,37203,965000,2,2.5,1323,,2020,729
Condo/Co-op,Antioch,37013,314800,3,3,1485,,2022,212
Single Family Residential,Nashville,37209,375000,3,1,1,8276,1960,375000
Townhouse,Nashville,37209,426930,2,2.5,1209,,2022,353
Condo/Co-op,Nashville,37206,415900,1,1,655,8712,2022,635
Townhouse,Nashville,37207,360087,3,2.5,1400,5227,2022,257
Single Family Residential,Nashville,37203,919000,2,2,1315,,2020,699
Single Family Residential,Nashville,37205,2400000,6,5,4168,74052,1951,576
Single Family Residential,Nashville,37203,922000,2,2.5,1412,,2020,653
Single Family Residential,Nolensville,37135,699900,4,3,2668,10018,2022,262
Single Family Residential,Nashville,37203,907000,2,2.5,1412,,2020,642
Single Family Residential,Nashville,37203,1049000,2,2,1315,,2020,798
Single Family Residential,Nashville,37206,527000,2,1,1308,7840,1910,403
Condo/Co-op,Antioch,37013,312800,3,3,1485,,2022,211
Single Family Residential,Madison,37115,261000,2,1,925,13068,1955,282
Townhouse,Antioch,37013,324410,3,2.5,1220,,2022,266
Single Family Residential,Nashville,37215,1600000,4,3.5,4150,46173,1980,386
Single Family Residential,Nashville,37207,900000,4,3.5,2944,8276,2022,306
Single Family Residential,Nashville,37203,932000,2,2.5,1289,,2021,723
Single Family Residential,Nashville,37203,1668000,3,3.5,1951,,2020,855
Single Family Residential,Nashville,37203,1558000,3,3.5,1951,,2020,799
Townhouse,Nashville,37207,367590,3,2.5,2800,5227,2022,131
Townhouse,Nashville,37207,376090,3,2.5,1400,5227,2022,269
Vacant Land,Nashville,37221,105000,,,,7405,,
Single Family Residential,Antioch,37013,442990,3,2.5,2164,,2022,205
Single Family Residential,Nashville,37206,375000,2,1,630,8276,1951,595
Single Family Residential,Nashville,37221,603500,4,3.5,2480,,2022,243
Townhouse,Hermitage,37076,344935,2,2.5,1209,,2022,285
Single Family Residential,Nashville,37203,2505000,3,3.5,2858,,2020,876
Single Family Residential,Nashville,37203,3958000,3,3.5,3578,,2020,1106
Single Family Residential,Nashville,37203,1518000,3,3.5,1951,,2020,778
Single Family Residential,Nashville,37203,951055,2,2.5,1412,,2020,674
Single Family Residential,Nashville,37217,337500,3,2,2373,7405,2002,142
Single Family Residential,Nashville,37207,667000,3,2.5,1991,8712,1920,335
Single Family Residential,Nashville,37203,964000,2,2,1315,,2020,733
Single Family Residential,Nashville,37203,1708000,3,3.5,1951,,2020,875
Single Family Residential,Nashville,37203,1075000,2,2.5,1323,,2020,813
Single Family Residential,Nashville,37215,886000,2,2.5,2008,8712,1981,441
Single Family Residential,Nashville,37203,1488000,3,3.5,1951,,2020,763
Single Family Residential,Hermitage,37076,557640,3,3,2593,,2021,215
Single Family Residential,Nashville,37203,862000,2,2.5,1412,,2020,610
Single Family Residential,Madison,37115,235800,4,2,1800,11761,1965,131
Single Family Residential,Madison,37115,317500,3,1,1325,30056,1962,240
Townhouse,Brentwood,37027,424900,2,3.5,1692,1306,2022,251
Single Family Residential,Nashville,37203,1750000,3,3.5,1951,,2020,897
Single Family Residential,Nashville,37211,634462,4,4.5,3102,8276,2022,205
Single Family Residential,Nashville,37203,1880000,3,3.5,1951,,2020,964
Townhouse,Brentwood,37027,424900,2,3.5,1692,1306,2022,251
Townhouse,Brentwood,37027,436900,2,3.5,1810,1306,2021,241
Single Family Residential,Nashville,37218,1000000,3,3,2592,218235,1998,386
Single Family Residential,Nashville,37216,718000,3,2.5,2349,41382,1953,306
Single Family Residential,La Vergne,37086,566575,4,3.5,2660,,2022,213
Single Family Residential,Nashville,37208,700000,2,2,1286,6534,2011,544
Single Family Residential,Nashville,37207,899000,3,3.5,2300,,2023,391
Single Family Residential,Nashville,37203,1129000,2,2,1315,,2020,859
Single Family Residential,Nashville,37203,934000,2,2,1315,,2020,710
Single Family Residential,Nashville,37203,839000,2,2,1315,,2020,638
Single Family Residential,Nashville,37203,987000,2,2.5,1412,,2020,699
Townhouse,Antioch,37013,522000,3,3.5,2071,2613,2022,252
Single Family Residential,Nashville,37203,874000,2,2,1315,,2020,665
Single Family Residential,Nashville,37209,600000,3,2,1444,14810,1964,416
Single Family Residential,Nashville,37203,1910000,3,3.5,1951,,2020,979
Single Family Residential,Nashville,37207,475570,3,2.5,1749,9147,2022,272
Single Family Residential,Nashville,37207,446670,3,2,1420,5227,2022,315
Single Family Residential,Nashville,37211,325000,3,2,2165,30927,1950,150
Single Family Residential,Nashville,37208,679900,3,3,2084,5662,2022,326
Single Family Residential,Nashville,37203,1030000,2,2.5,1323,,2020,779
Townhouse,Antioch,37013,321555,3,2.5,1220,,2022,264
Mobile/Manufactured Home,La Vergne,37086,160000,3,2,1296,7405,1993,123
Single Family Residential,Hermitage,37076,620635,4,3,2410,,2022,258
Single Family Residential,Nashville,37210,305000,3,2,1466,22216,1950,208
Townhouse,Nashville,37209,413955,2,2.5,1209,,2022,342
Single Family Residential,Nashville,37204,907000,2,1,1562,21780,1950,581
Single Family Residential,Antioch,37013,487965,5,3,2282,,2022,214
Single Family Residential,Nashville,37204,1600000,4,3,4262,34412,1945,375
Single Family Residential,Nashville,37210,425000,1,1,950,,2019,447
Single Family Residential,Nashville,37203,1175000,2,2.5,1323,,2020,888
Single Family Residential,Nashville,37209,792000,5,4,3376,7840,1960,235
Single Family Residential,Nashville,37203,993685,2,2,1315,,2020,756
Single Family Residential,Nashville,37203,962000,2,2.5,1289,,2021,746
Single Family Residential,Nashville,37207,513070,5,3,2352,5227,2022,218
Townhouse,Nashville,37207,409090,3,2.5,1601,5227,2022,256
Single Family Residential,Nashville,37205,3425000,5,4.5,5237,31798,1988,654
Condo/Co-op,Nashville,37219,2300000,2,2.5,1767,,1998,1302
Single Family Residential,Old Hickory,37138,275000,3,1,884,3920,1927,311
Townhouse,Hermitage,37076,344190,2,2.5,1209,,2022,285
Single Family Residential,Nashville,37203,1022000,2,2.5,1289,,2021,793
Single Family Residential,Nashville,37204,1375000,5,4.5,3584,1742,2018,384
Single Family Residential,Hermitage,37076,478370,3,2.5,2143,3049,2022,223
Single Family Residential,Antioch,37013,502620,5,3,2565,,2021,196
Single Family Residential,Antioch,37013,310455,3,2.5,1220,,2022,254
Townhouse,Antioch,37013,484625,3,3,1789,1306,2022,271
Townhouse,Old Hickory,37138,289900,2,2.5,1134,,2021,256
Single Family Residential,Nashville,37209,516500,4,2,2099,13068,1956,246
Townhouse,Brentwood,37027,433900,2,3.5,1692,1306,2022,256
Single Family Residential,Nashville,37209,950000,3,2.5,2699,6098,2014,352
Single Family Residential,Nashville,37207,500770,4,2.5,2018,5227,2022,248
Single Family Residential,Nashville,37203,917560,2,2,1315,,2020,698
Single Family Residential,Antioch,37013,307500,4,2.5,1969,10019,2013,156
Townhouse,Brentwood,37027,424900,2,3.5,1692,1306,2022,251
Single Family Residential,Nashville,37203,952000,2,2.5,1412,,2020,674
Single Family Residential,Nashville,37203,799000,2,2,1315,,2020,608
Single Family Residential,Antioch,37013,414600,3,2.5,1679,,2022,247
Single Family Residential,Nashville,37203,1638000,3,3.5,1951,,2020,840
Single Family Residential,Hermitage,37076,573080,5,3,2412,6534,2022,238
Townhouse,Old Hickory,37138,324900,3,2.5,1452,,2021,224
Single Family Residential,Antioch,37013,439990,4,2.5,2282,,2022,193
Single Family Residential,Antioch,37013,453970,4,2.5,2099,,2022,216
Single Family Residential,Nashville,37203,1660000,3,3.5,1951,,2020,851
Single Family Residential,Nashville,37208,320000,2,2,1049,2178,1920,305
Single Family Residential,Nashville,37207,446405,3,2,1696,,2022,263
Mobile/Manufactured Home,Joelton,37080,175000,3,2,924,218671,1974,189
Single Family Residential,Nashville,37207,513570,5,3,2352,5227,2022,218
Single Family Residential,Nolensville,37135,462650,3,3.5,1959,,2021,236
Single Family Residential,Nashville,37214,362215,4,3.5,2410,7841,2017,150
Single Family Residential,Hermitage,37076,290000,3,2,1356,5227,1998,214
Single Family Residential,Hermitage,37076,590990,3,3,2382,,2022,248
Condo/Co-op,Nashville,37209,439903,2,2,1146,,2022,384
Single Family Residential,Madison,37115,308000,3,2,1343,7840,2005,229
Single Family Residential,Nashville,37203,1112000,2,2.5,1289,,2021,863
Condo/Co-op,Nashville,37203,425000,1,1,690,,1900,616
Single Family Residential,Nashville,37207,493260,4,2.5,2018,5227,2022,244
